ID;Cota;t_max;t_min;prec;vel_media;racha;ID_INCENDIO
49374;127;12.98;5.5;0.02;2.94;8;2008330257
49399;100;13.4;7.74;3.1;4.94;20.72;2008330305
49400;127;14.5;5.76;4.4;4;17.06;2008330306
49403;127;14.5;5.76;4.4;4;17.06;2008330310
49406;127;14.9;6.02;1.04;3.56;15.94;2008330320
49417;127;16.64;7.38;0;3.56;13.22;2008330344
49422;127;16.64;7.38;0;3.56;13.22;2008330349
49426;127;16.64;7.38;0;3.56;13.22;2008330355
49429;5;15.32;7.76;0;nan;nan;2008330360
49430;127;16.64;7.38;0;3.56;13.22;2008330362
49442;10;nan;nan;nan;1.1;nan;2008330376
49443;127;17.3;6.76;0;3;11.38;2008330377
49448;127;17.3;6.76;0;3;11.38;2008330382
49458;127;17.3;6.76;0;3;11.38;2008330393
49459;5;14.84;7.16;0;nan;nan;2008330394
49463;5;14.84;7.16;0;nan;nan;2008330400
49464;5;14.84;7.16;0;nan;nan;2008330401
49467;127;17.3;6.76;0;3;11.38;2008330410
49474;100;12.26;7.88;0;3.12;8.66;2008330421
49475;1510;10;-0.866666667;0;1.266.666.667;5.666.666.667;2008330422
49482;445;19.18;-0.64;0;1.34;4.8;2008330430
49486;127;16.22;5.44;0;2.38;9.1;2008330434
49493;127;16.22;5.44;0;2.38;9.1;2008330443
49494;100;12.26;7.88;0;3.12;8.66;2008330444
49498;100;12.26;7.88;0;3.12;8.66;2008330450
49499;100;11.58;6.94;0;3;7.56;2008330451
49515;5;13.16;5.36;0;nan;nan;2008330473
49518;127;15.46;4.72;0;2.6;8.38;2008330478
49518;127;15.46;4.72;0;2.6;8.38;2008330478
49524;10;14.3;6.4;nan;1.9;4.7;2008330487
49528;100;11.38;6.32;0;2.72;7.02;2008330496
49533;10;14.3;6.4;nan;1.9;4.7;2008330502
49542;127;15.02;4.32;0;2.44;7.88;2008330513
49546;127;15.02;4.32;0;2.44;7.88;2008330519
49551;5;13.52;5.34;0;nan;nan;2008330524
49553;100;11.88;6.58;0;3.06;8.02;2008330527
49562;127;14.72;4.34;0;2.6;8.28;2008330537
49569;127;14.72;4.34;0;2.6;8.28;2008330547
49570;127;14.72;4.34;0;2.6;8.28;2008330549
49572;10;14.3;6.4;nan;1.8;4.7;2008330555
49574;127;14.72;4.34;0;2.6;8.28;2008330558
49575;127;14.72;4.34;0;2.6;8.28;2008330559
49576;127;14.72;4.34;0;2.6;8.28;2008330560
49582;127;14.72;4.34;0;2.6;8.28;2008330569
49595;127;14.26;4.58;0;3.04;8.46;2008330586
49596;445;17.32;-2.78;0;1.28;5.38;2008330588
